month,price
04/1975,100.000
05/1975,89.980
06/1975,91.640
07/1975,98.020
08/1975,98.390
09/1975,92.100
10/1975,91.100
11/1975,89.070
12/1975,84.070
01/1976,82.550
02/1976,80.900
03/1976,77.570
04/1976,80.700
05/1976,78.120
06/1976,77.630
07/1976,78.380
08/1976,79.920
09/1976,79.650
10/1976,80.080
11/1976,80.660
12/1976,82.690
01/1977,87.550
02/1977,89.950
03/1977,97.680
04/1977,101.240
05/1977,104.150
06/1977,113.470
07/1977,127.800
08/1977,150.070
09/1977,149.930
10/1977,192.620
11/1977,182.450
12/1977,181.580
01/1978,201.010
02/1978,202.030
03/1978,188.620
04/1978,182.390
05/1978,187.910
06/1978,190.000
07/1978,184.760
08/1978,194.180
09/1978,206.940
10/1978,242.860
11/1978,239.800
12/1978,257.730
01/1979,239.810
02/1979,229.430
03/1979,218.100
04/1979,175.890
05/1979,183.720
06/1979,175.590
07/1979,175.100
08/1979,170.910
09/1979,169.330
10/1979,158.480
11/1979,152.460
12/1979,149.400
01/1980,136.840
02/1980,137.910
03/1980,138.250
04/1980,129.630
05/1980,124.110
06/1980,127.810
07/1980,126.610
08/1980,120.360
09/1980,118.870
10/1980,119.040
11/1980,127.880
12/1980,124.670
01/1981,126.880
02/1981,127.050
03/1981,124.310
04/1981,121.620
05/1981,116.990
06/1981,112.410
07/1981,111.610
08/1981,104.680
09/1981,105.120
10/1981,105.040
11/1981,108.350
12/1981,106.620
01/1982,106.770
02/1982,106.160
03/1982,102.980
04/1982,104.890
05/1982,105.830
06/1982,106.610
07/1982,108.160
08/1982,124.090
09/1982,126.240
10/1982,127.490
11/1982,120.840
12/1982,123.500
01/1983,125.800
02/1983,125.030
03/1983,131.330
04/1983,137.270
05/1983,138.040
06/1983,139.880
07/1983,148.360
08/1983,144.730
09/1983,142.040
10/1983,138.600
11/1983,136.310
12/1983,134.470
01/1984,133.770
02/1984,131.400
03/1984,130.090
04/1984,132.730
05/1984,132.090
06/1984,133.140
07/1984,132.240
08/1984,132.890
09/1984,132.890
10/1984,135.840
11/1984,143.220
12/1984,142.290
01/1985,139.650
02/1985,139.470
03/1985,145.110
04/1985,151.140
05/1985,155.020
06/1985,155.190
07/1985,158.080
08/1985,150.710
09/1985,146.740
10/1985,146.110
11/1985,142.110
12/1985,134.950
01/1986,139.020
02/1986,136.500
03/1986,129.850
04/1986,129.540
05/1986,129.080
06/1986,131.510
07/1986,141.510
08/1986,149.840
09/1986,162.370
10/1986,183.770
11/1986,186.460
12/1986,207.200
01/1987,209.920
02/1987,208.790
03/1987,228.970
04/1987,250.190
05/1987,269.070
06/1987,299.870
07/1987,313.930
08/1987,353.150
09/1987,428.190
10/1987,299.830
11/1987,290.420
12/1987,284.940
01/1988,318.780
02/1988,372.320
03/1988,388.900
04/1988,413.910
05/1988,424.930
06/1988,452.700
07/1988,457.010
08/1988,436.550
09/1988,444.610
10/1988,418.740
11/1988,392.860
12/1988,386.730
01/1989,433.680
02/1989,435.780
03/1989,440.880
04/1989,500.210
05/1989,552.540
06/1989,606.210
07/1989,624.130
08/1989,681.920
09/1989,689.510
10/1989,695.010
11/1989,769.830
12/1989,879.190
01/1990,853.720
02/1990,813.670
03/1990,851.530
04/1990,855.970
05/1990,1000.710
06/1990,1060.220
07/1990,1115.730
08/1990,862.750
09/1990,641.150
10/1990,649.370
11/1990,544.300
12/1990,587.850
01/1991,658.470
02/1991,769.130
03/1991,865.740
04/1991,876.010
05/1991,808.190
06/1991,765.210
07/1991,728.700
08/1991,705.650
09/1991,670.790
10/1991,638.840
11/1991,671.070
12/1991,711.360
01/1992,763.450
02/1992,782.850
03/1992,822.720
04/1992,760.970
05/1992,688.840
06/1992,751.450
07/1992,744.420
08/1992,746.510
09/1992,847.000
10/1992,940.350
11/1992,865.210
12/1992,893.420
01/1993,974.480
02/1993,937.650
03/1993,865.230
04/1993,845.290
05/1993,825.710
06/1993,877.520
07/1993,928.200
08/1993,963.180
09/1993,971.440
10/1993,1260.910
11/1993,1309.950
12/1993,1682.850
01/1994,1493.450
02/1994,1372.930
03/1994,1239.990
04/1994,1266.670
05/1994,1356.870
06/1994,1273.340
07/1994,1376.880
08/1994,1524.830
09/1994,1485.710
10/1994,1528.830
11/1994,1362.440
12/1994,1360.090
01/1995,1217.740
02/1995,1288.470
03/1995,1216.680
04/1995,1208.690
05/1995,1392.310
06/1995,1394.770
07/1995,1383.100
08/1995,1314.900
09/1995,1294.230
10/1995,1270.760
11/1995,1196.620
12/1995,1280.810
01/1996,1410.330
02/1996,1321.870
03/1996,1289.730
04/1996,1292.610
05/1996,1311.910
06/1996,1247.080
07/1996,1064.040
08/1996,1102.320
09/1996,1099.010
10/1996,910.330
11/1996,925.970
12/1996,831.570
01/1997,788.040
02/1997,727.560
03/1997,705.430
04/1997,661.290
05/1997,566.390
06/1997,527.280
07/1997,665.620
08/1997,502.230
09/1997,544.540
10/1997,447.210
11/1997,395.470
12/1997,372.690
01/1998,495.230
02/1998,528.420
03/1998,459.110
04/1998,412.130
05/1998,325.590
06/1998,267.330
07/1998,266.720
08/1998,214.530
09/1998,253.820
10/1998,331.290
11/1998,362.820
12/1998,355.810
01/1999,363.000
02/1999,340.940
03/1999,352.010
04/1999,459.350
05/1999,453.600
06/1999,521.770
07/1999,456.810
08/1999,440.270
09/1999,389.490
10/1999,395.550
11/1999,422.120
12/1999,481.920
01/2000,477.290
02/2000,374.320
03/2000,400.320
04/2000,390.400
05/2000,323.290
06/2000,325.690
07/2000,284.670
08/2000,307.830
09/2000,277.290
10/2000,271.840
11/2000,277.920
12/2000,269.190
01/2001,332.770
02/2001,325.200
03/2001,291.940
04/2001,300.630
05/2001,310.130
06/2001,322.550
07/2001,297.690
08/2001,335.570
09/2001,277.040
10/2001,275.090
11/2001,302.620
12/2001,303.850
01/2002,340.820
02/2002,371.810
03/2002,373.950
04/2002,371.420
05/2002,407.960
06/2002,389.100
07/2002,376.020
08/2002,361.160
09/2002,331.790
10/2002,357.220
11/2002,364.900
12/2002,356.480
01/2003,370.010
02/2003,361.320
03/2003,364.550
04/2003,374.630
05/2003,403.820
06/2003,461.820
07/2003,484.110
08/2003,537.710
09/2003,578.980
10/2003,639.450
11/2003,646.030
12/2003,772.150
01/2004,698.900
02/2004,716.300
03/2004,647.300
04/2004,648.150
05/2004,641.050
06/2004,646.640
07/2004,636.700
08/2004,624.590
09/2004,644.670
10/2004,628.160
11/2004,656.730
12/2004,668.100
01/2005,701.910
02/2005,741.550
03/2005,681.490
04/2005,658.880
05/2005,667.550
06/2005,675.500
07/2005,675.670
08/2005,697.850
09/2005,723.230
10/2005,682.620
11/2005,667.750
12/2005,713.730
01/2006,762.630
02/2006,744.050
03/2006,733.250
04/2006,768.290
05/2006,709.430
06/2006,678.130
07/2006,691.490
08/2006,690.900
09/2006,686.100
10/2006,722.460
11/2006,739.060
12/2006,679.840
01/2007,654.040
02/2007,677.130
03/2007,673.710
04/2007,699.160
05/2007,737.400
06/2007,776.790
07/2007,859.760
08/2007,813.210
09/2007,845.500
10/2007,907.280
11/2007,846.440
12/2007,858.100
01/2008,784.230
02/2008,845.760
03/2008,817.030
04/2008,832.450
05/2008,833.650
06/2008,768.590
07/2008,676.320
08/2008,684.440
09/2008,596.540
10/2008,416.530
11/2008,401.840
12/2008,449.960
01/2009,437.690
02/2009,431.520
03/2009,431.500
04/2009,491.690
05/2009,560.410
06/2009,597.480
07/2009,624.000
08/2009,653.250
09/2009,717.070
10/2009,685.240
11/2009,689.070
12/2009,734.540
01/2010,696.550
02/2010,721.370
03/2010,787.980
04/2010,763.510
05/2010,750.430
06/2010,797.310
07/2010,855.830
08/2010,913.190
09/2010,975.300
10/2010,984.460
11/2010,1005.120
12/2010,1032.760
01/2011,964.100
02/2011,987.910
03/2011,1047.480
04/2011,1093.560
05/2011,1073.830
06/2011,1041.480
07/2011,1133.530
08/2011,1070.050
09/2011,916.210
10/2011,974.750
11/2011,995.330
12/2011,1025.320
01/2012,1083.970
02/2012,1160.900
03/2012,1196.770
04/2012,1228.490
05/2012,1141.500
06/2012,1172.110
07/2012,1199.300
08/2012,1227.480
09/2012,1298.790
10/2012,1298.870
11/2012,1324.040
12/2012,1391.930
01/2013,1474.200
02/2013,1541.580
03/2013,1561.060
04/2013,1597.860
05/2013,1562.070
06/2013,1451.900
07/2013,1423.140
08/2013,1294.300
09/2013,1383.160
10/2013,1442.880
11/2013,1371.130
12/2013,1298.710
01/2014,1274.280
02/2014,1325.330
03/2014,1376.260
04/2014,1414.940
05/2014,1415.730
06/2014,1485.750
07/2014,1502.390
08/2014,1561.630
09/2014,1585.670
10/2014,1584.160
11/2014,1593.910
12/2014,1497.670
01/2015,1581.250
02/2015,1587.010
03/2015,1505.940
04/2015,1526.740
05/2015,1496.050
06/2015,1504.550
07/2015,1440.120
08/2015,1382.410
09/2015,1349.000
10/2015,1394.940
11/2015,1359.700
12/2015,1288.020
01/2016,1300.980
02/2016,1332.370
03/2016,1407.700
04/2016,1404.610
05/2016,1424.280
06/2016,1444.990
07/2016,1524.070
08/2016,1548.440
09/2016,1483.210
10/2016,1495.720
11/2016,1510.240
12/2016,1542.940
01/2017,1577.310
02/2017,1559.560
03/2017,1575.110
04/2017,1566.320
05/2017,1561.660
06/2017,1574.740
07/2017,1576.080
08/2017,1616.160
09/2017,1673.160
10/2017,1721.370
11/2017,1697.390
12/2017,1753.710
01/2018,1826.860
02/2018,1830.130
03/2018,1776.260
04/2018,1780.110
05/2018,1726.970
06/2018,1595.580
07/2018,1701.790
08/2018,1721.580
09/2018,1756.410
10/2018,1669.090
11/2018,1641.800
12/2018,1563.880
01/2019,1641.730
02/2019,1653.480
03/2019,1638.650
04/2019,1673.520
05/2019,1620.220
06/2019,1730.340
07/2019,1711.970
08/2019,1654.920
09/2019,1637.220
10/2019,1601.490
11/2019,1590.590
12/2019,1579.840
01/2020,1514.140
02/2020,1340.520
03/2020,1125.860
04/2020,1301.660
05/2020,1342.850
06/2020,1339.030
07/2020,1328.530
08/2020,1310.660
09/2020,1237.040
10/2020,1194.950
11/2020,1408.310
12/2020,1449.350
01/2021,1466.980
02/2021,1496.780
03/2021,1587.210
04/2021,1583.130
05/2021,1593.590
06/2021,1587.790
07/2021,1521.920
08/2021,1638.750
09/2021,1605.680
10/2021,1623.430
11/2021,1568.690
12/2021,1657.620
01/2022,1648.810
02/2022,1685.180
03/2022,1695.240
04/2022,1667.440
05/2022,1663.410
06/2022,1568.330
07/2022,1576.410
08/2022,1638.930
09/2022,1589.510
10/2022,1608.760
11/2022,1635.360
12/2022,1668.660
01/2023,1671.460
02/2023,1622.350
03/2023,1609.170
04/2023,1529.120
05/2023,1533.540
06/2023,1503.100
07/2023,1556.060
08/2023,1565.940
09/2023,1471.430
